Deze gegevens mogen vrij worden gebruikt mits de volgende bronvermelding wordt gegeven:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

These data can be used freely provided that the following source is acknowledged:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

MAAND- en JAARGEMIDDELDE TEMPERATUREN (0.1 graden Celsius)
MONTHLY AND YEARLY MEAN TEMPERATURES (0.1 degrees Celsius)

STN = stationsnummer / WMO-number = 06... (235=De Kooy,240=Schiphol,260=De Bilt,270=Leeuwarden,280=Eelde,
      290=Twenthe,310=Vlissingen,344=Rotterdam,370=Eindhoven,380=Maastricht)


STN,YYYY,   JAN,   FEB,   MAR,   APR,   MAY,   JUN,   JUL,   AUG,   SEP,   OCT,   NOV,   DEC,  YEAR

260,1901,    -3,    -9,    35,    90,   120,   144,   181,   162,   143,   101,    52,    30,    87
260,1902,    47,    -3,    53,    85,    92,   153,   152,   146,   129,    85,    37,     8,    82
260,1903,    30,    57,    72,    56,   126,   140,   153,   150,   140,   109,    56,     9,    92
260,1904,     8,    30,    38,    96,   118,   141,   175,   156,   122,    91,    55,    40,    89
260,1905,    13,    36,    60,    66,   117,   164,   174,   157,   127,    65,    38,    24,    87
260,1906,    36,    24,    40,    76,   123,   140,   165,   164,   131,   114,    77,     2,    91
260,1907,    17,     8,    48,    75,   123,   135,   138,   150,   135,   110,    58,    31,    86
260,1908,   -11,    37,    36,    61,   129,   159,   163,   150,   134,    97,    45,    11,    84
260,1909,     9,     7,    29,    85,   112,   130,   146,   158,   130,   108,    46,    32,    83
260,1910,    36,    41,    52,    78,   124,   159,   150,   158,   132,   102,    35,    56,    94
260,1911,    12,    36,    52,    71,   137,   144,   180,   187,   141,    95,    58,    51,    97
260,1912,    20,    41,    75,    87,   116,   148,   178,   140,   107,    79,    55,    54,    92
260,1913,    24,    35,    71,    86,   125,   140,   146,   150,   136,   107,    81,    42,    95
260,1914,     1,    57,    60,   100,   114,   140,   173,   169,   134,    99,    51,    49,    96
260,1915,    32,    32,    41,    75,   122,   153,   153,   153,   128,    76,    29,    52,    87
260,1916,    60,    28,    44,    87,   128,   121,   151,   160,   131,   100,    57,    26,    91
260,1917,    -6,   -15,    19,    46,   143,   177,   163,   159,   143,    81,    71,     1,    82
260,1918,    29,    42,    46,    82,   136,   133,   158,   156,   129,    93,    43,    57,    92
260,1919,    20,     3,    42,    63,   135,   141,   138,   156,   140,    70,    19,    37,    80
260,1920,    42,    54,    74,    92,   126,   153,   158,   140,   130,    79,    33,    21,    92
260,1921,    63,    31,    67,    87,   131,   144,   175,   164,   137,   123,    13,    32,    97
260,1922,     4,    17,    42,    60,   131,   148,   149,   146,   124,    64,    49,    46,    82
260,1923,    40,    31,    66,    78,   102,   116,   183,   155,   128,   105,    30,     5,    87
260,1924,     1,     4,    34,    66,   130,   146,   160,   142,   137,   104,    49,    38,    84
260,1925,    39,    48,    36,    81,   135,   148,   178,   159,   117,    97,    28,    14,    90
260,1926,    23,    64,    59,    99,   105,   136,   172,   161,   149,    78,    66,    29,    95
260,1927,    39,    29,    66,    78,   112,   130,   166,   164,   137,   103,    41,   -12,    88
260,1928,    36,    49,    45,    83,   107,   137,   167,   157,   125,    97,    75,    24,    92
260,1929,   -12,   -55,    36,    54,   124,   136,   167,   158,   155,   101,    60,    50,    81
260,1930,    48,    16,    49,    88,   116,   172,   158,   162,   138,   101,    71,    23,    95
260,1931,    26,    13,    24,    72,   133,   149,   162,   154,   114,    87,    66,    33,    86
260,1932,    41,    16,    32,    73,   120,   146,   170,   183,   144,    92,    54,    35,    92
260,1933,     1,    29,    68,    84,   119,   151,   175,   169,   145,    97,    41,   -20,    88
260,1934,    23,    34,    48,   102,   119,   155,   172,   158,   155,   110,    54,    70,   100
